id,timestamp,content,cleaned_content,likes,retweets,replies,impressions,cleaned_text,sentiment,risk_level
1908810772345405638,2025-04-06T09:15:26+00:00,RT @OpiumBr00: 'TOXIC' do Playboi Carti sendo tocada no show de Destroy Lonely em Londres. 🔥🔥 https://t.co/8mdRgmEiW0,RT : 'TOXIC' do Playboi Carti sendo tocada no show de Destroy Lonely em Londres.,0,362,0,0,rt opiumbr toxic playboi carti sendo tocada show de destroy lonely em londres,Negative,Low Concern
1908810770131124228,2025-04-06T09:15:26+00:00,RT @Caffeine5555: @ulkatara @help6457 @ColonelRETJohn2 I lost hope when they stole the election from Trump in 2020. Then they convicted him…,RT : I lost hope when they stole the election from Trump in 2020. Then they convicted him,0,29,0,0,rt caffeine ulkatara help colonelretjohn lost hope stole election trump convicted him…,Positive,Low Concern
1908810770084700234,2025-04-06T09:15:26+00:00,"#CryрtoРump🔥

➜ https://t.co/oWXt2jfMOz

📈 Make 150-250% within MINUTES! 🚀

trh8PLOQ @sexy_lonely_mtf @Sandeep04424947 @NewlandOtilia @vishwajeetkss2 @PeleAce89 @jsarpal @MrRaymondW89017 @TidyBiscuits @Melissa78408735 @GondUtpal23888 @0xDiggs",Crytoump Make 150-250% within MINUTES! trh8PLOQ,0,0,0,0,cryрtoрump make within minutes trhploq sexylonelymtf sandeep newlandotilia vishwajeetkss peleace jsarpal mrraymondw tidybiscuits melissa gondutpal xdiggs,Neutral,Low Concern
1908810766255276374,2025-04-06T09:15:25+00:00,Spending 30-120 minutes doing some gardening is all the mental health a guy needs. Forget “gym” or “crypto”,Spending 30-120 minutes doing some gardening is all the mental health a guy needs. Forget gym or crypto,0,0,0,0,spending minutes gardening mental health guy needs forget “gym” “crypto”,Negative,Low Concern
1908810762929217595,2025-04-06T09:15:24+00:00,"RT @RiseAsAMan: @AlexHormozi Pain isn’t here to punish you…it’s here to prepare you.

Every struggle carves discipline.
Every setback tests…",RT : Pain isnt here to punish youits here to prepare you. Every struggle carves discipline. Every setback tests,0,3,0,0,rt riseasaman alexhormozi pain isn’t punish you…it’s prepare every struggle carves discipline every setback tests…,Negative,Low Concern
1908810762476208209,2025-04-06T09:15:24+00:00,RT @gemzcore: That depression and anxiety can result in memory loss.,RT : That depression and anxiety can result in memory loss.,0,3685,0,0,rt gemzcore depression anxiety result memory loss,Negative,Low Concern
1908810757661245586,2025-04-06T09:15:23+00:00,And the record label exec just made me want to scream. He truly didn’t care that the man beat his first girlfriend to death and left her to die for 6 HOURS!! Just because he had some musical talent. Smfh. He should be disgusted with himself,And the record label exec just made me want to scream. He truly didnt care that the man beat his first girlfriend to death and left her to die for 6 HOURS!! Just because he had some musical talent. Smfh. He should be disgusted with himself,0,0,0,0,record label exec made want scream truly didn’t care man beat first girlfriend death left die hours musical talent smfh disgusted,Negative,Low Concern
1908810757057151210,2025-04-06T09:15:23+00:00,RT @pastapilled: accidentally took a depression nap that lasted 10 hours https://t.co/oSGAvagfAX,RT : accidentally took a depression nap that lasted 10 hours,0,4938,0,0,rt pastapilled accidentally took depression nap lasted hours,Negative,Low Concern
1908810753831809338,2025-04-06T09:15:22+00:00,"RT @estdiaries: 🎤 are you lonely today?
🦈 today i’m lonely im not used to being alone

🥹🥹🥹

EST X WONDER SPLASH
 #TheICONMedicalClinicxEST…",RT : are you lonely today? today im lonely im not used to being alone EST X WONDER SPLASH TheICONMedicalClinicxEST,0,391,0,0,rt estdiaries lonely today today i’m lonely im used alone est wonder splash theiconmedicalclinicxest…,Negative,Low Concern
1908810753676550398,2025-04-06T09:15:22+00:00,"RT @GMbeki31765: Look at the faces of these dogs- they look so defeated, depressed, &amp; filled with despair. Abuse &amp; beatings seem to be thei…","RT : Look at the faces of these dogs- they look so defeated, depressed, &amp; filled with despair. Abuse &amp; beatings seem to be thei",0,318,0,0,rt gmbeki look faces dogs look defeated depressed amp filled despair abuse amp beatings seem thei…,Negative,Moderate Concern
1908810753471046029,2025-04-06T09:15:22+00:00,RT @gemzcore: That depression and anxiety can result in memory loss.,RT : That depression and anxiety can result in memory loss.,0,3685,0,0,rt gemzcore depression anxiety result memory loss,Negative,Low Concern
